Lexema              Tipo                     
---------------------------------------------
Program             Palavra reservada        
ErrorExample        Identificador            
;                   Simbolo simples          
var                 Palavra reservada        
valor               Identificador            
:                   Simbolo simples          
integer             Palavra reservada        
begin               Palavra reservada        
resultado           Identificador            
:=                  Simbolo composto         
20                  Numero                   
;                   Simbolo simples          
if                  Palavra reservada        
(                   Simbolo simples          
resultado           Identificador            
>                   Simbolo simples          
10                  Numero                   
then                Palavra reservada        
write               Palavra reservada        
(                   Simbolo simples          
)                   Simbolo simples          
;                   Simbolo simples          
